Ticker,Trades,Total_Return_%,Win_Rate_%,Max_Drawdown_%,Sharpe_Ratio
GC=F,16,5.65,75.0,-1.95,7.99
USDCHF=X,15,1.34,80.0,-0.36,7.92
GBPJPY=X,14,0.63,71.4,-0.26,5.14
EURCHF=X,13,0.54,76.9,-0.25,5.48
USDCAD=X,13,0.53,69.2,-0.37,5.87
GBPCHF=X,8,0.47,75.0,-0.29,5.93
EURNZD=X,4,0.12,75.0,-0.23,3.94
GBPNZD=X,6,0.08,66.7,-0.33,1.41
NZDUSD=X,9,0.01,66.7,-0.34,0.1
EURGBP=X,0,0.0,0.0,0.0,0.0
AUDUSD=X,8,-0.09,50.0,-0.61,-0.85
EURAUD=X,9,-0.23,55.6,-0.67,-2.39
USDJPY=X,23,-0.76,52.2,-1.45,-2.76
EURUSD=X,14,-0.8,50.0,-1.2,-5.68
GBPUSD=X,14,-0.81,35.7,-1.22,-6.0
AUDNZD=X,29,-1.06,51.7,-1.61,-4.47
EURJPY=X,17,-1.26,41.2,-1.38,-8.25
GBPAUD=X,10,-1.31,40.0,-1.61,-10.87
AUDJPY=X,20,-1.64,35.0,-1.64,-5.45
NZDJPY=X,12,-1.67,16.7,-1.61,-11.8
CHFJPY=X,14,-2.29,28.6,-2.08,-14.81
CL=F,13,-16.54,38.5,-19.54,-8.84
